1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.002089371,-0.000370556,0.00167441,0.000160033,4.83E-05,0.000177082,0.000247982,0.000251363,0.000196642,0.00024332,-0.001154541,0.001217353,0.000422943,-0.000450364,0.000388401,0.000322935,0.000522273,0.001109094,0.000392226,0.000416954
0.002260393,-0.000400523,0.001820241,0.000173692,4.82E-05,0.000192371,0.000264239,0.000274659,0.000216657,0.000266838,-0.001257244,0.001332075,0.000417635,-0.000496103,0.000436174,0.00035966,0.000577113,0.001230985,0.000429699,0.000448067
0.002416841,-0.000431599,0.001952261,0.000186777,4.84E-05,0.000207345,0.00027933,0.000296585,0.000235537,0.000289298,-0.001352881,0.001438951,0.000407484,-0.000537886,0.000481214,0.000395102,0.000628484,0.001345585,0.000464609,0.000477188
0.002558558,-0.000463853,0.002070279,0.000199243,4.89E-05,0.000221969,0.000293174,0.000317042,0.000253207,0.000310627,-0.001441215,0.001537554,0.00039243,-0.000575523,0.000523336,0.000429154,0.000676151,0.001452398,0.000496784,0.000504189
0.002685484,-0.000497334,0.002174202,0.000211046,4.98E-05,0.000236211,0.0003057,0.000335948,0.000269595,0.000330759,-0.001522059,0.001627529,0.000372463,-0.000608866,0.000562374,0.000461714,0.000719921,0.001550991,0.000526072,0.000528953
0.00279764,-0.000532089,0.002264027,0.000222138,5.09E-05,0.000250031,0.000316845,0.000353222,0.000284642,0.000349638,-0.001595274,0.001708593,0.000347614,-0.000637805,0.000598186,0.000492691,0.000759617,0.001640992,0.000552344,0.000551386
0.002895125,-0.000568148,0.002339839,0.000232481,5.24E-05,0.000263393,0.00032655,0.000368797,0.00029829,0.000367208,-0.001660775,0.001780542,0.000317968,-0.000662279,0.000630649,0.000521995,0.00079511,0.001722104,0.000575496,0.000571401
0.00297811,-0.000605536,0.002401808,0.000242033,5.41E-05,0.000276265,0.000334771,0.000382612,0.000310496,0.00038343,-0.001718517,0.001843247,0.00028365,-0.00068226,0.00065967,0.000549541,0.000826293,0.001794092,0.000595444,0.000588936
0.003046849,-0.00064426,0.002450187,0.000250755,5.61E-05,0.000288601,0.000341464,0.000394617,0.00032122,0.000398268,-0.001768511,0.00189666,0.000244836,-0.000697772,0.00068518,0.000575256,0.000853091,0.001856796,0.000612125,0.000603947
0.003101667,-0.000684308,0.002485317,0.000258617,5.82E-05,0.000300371,0.000346605,0.000404778,0.000330439,0.000411693,-0.001810811,0.001940812,0.000201746,-0.000708877,0.000707132,0.000599069,0.000875474,0.001910133,0.000625507,0.000616401
0.003142957,-0.000725658,0.002507613,0.000265585,6.05E-05,0.000311532,0.000350169,0.000413058,0.00033813,0.000423687,-0.001845513,0.001975802,0.000154642,-0.000715679,0.000725505,0.00062092,0.00089344,0.001954088,0.000635577,0.000626285
0.003171183,-0.000768262,0.002517578,0.000271629,6.30E-05,0.000322057,0.000352144,0.000419444,0.000344285,0.000434241,-0.00187276,0.002001806,0.000103831,-0.000718323,0.000740308,0.000640756,0.000907019,0.001988724,0.000642348,0.000633607
0.00318688,-0.000812062,0.002515783,0.000276728,6.55E-05,0.000331899,0.00035253,0.000423927,0.000348902,0.000443346,-0.001892739,0.002019072,4.97E-05,-0.000716988,0.000751567,0.000658529,0.00091628,0.002014173,0.000645856,0.000638395
0.003190647,-0.000856973,0.002502883,0.000280853,6.80E-05,0.00034103,0.000351333,0.000426508,0.00035199,0.000451014,-0.001905669,0.002027907,-7.47E-06,-0.000711894,0.000759338,0.000674201,0.00092132,0.002030636,0.000646162,0.000640679
0.00318315,-0.000902899,0.00247961,0.000283991,7.04E-05,0.000349409,0.000348572,0.0004272,0.000353565,0.000457254,-0.001911817,0.002028683,-6.71E-05,-0.000703288,0.000763699,0.000687745,0.000922265,0.002038385,0.000643345,0.00064052
0.003165123,-0.00094971,0.002446763,0.000286126,7.28E-05,0.000357018,0.000344265,0.000426026,0.000353654,0.000462082,-0.001911477,0.002021829,-0.000128865,-0.000691453,0.000764746,0.000699139,0.000919275,0.002037751,0.00063751,0.000637992
0.003137351,-0.000997258,0.002405217,0.000287248,7.50E-05,0.000363813,0.000338451,0.000423018,0.000352288,0.000465532,-0.001904981,0.002007814,-0.000192157,-0.000676697,0.000762604,0.000708374,0.000912536,0.002029129,0.000628776,0.000633177
0.003100691,-0.001045373,0.002355904,0.000287349,7.69E-05,0.000369772,0.000331173,0.000418216,0.000349509,0.000467636,-0.001892697,0.001987155,-0.000256469,-0.000659348,0.000757405,0.000715445,0.000902257,0.002012965,0.000617285,0.000626179
0.00305605,-0.001093858,0.002299826,0.000286426,7.86E-05,0.00037487,0.000322475,0.000411673,0.000345366,0.000468433,-0.001875008,0.001960406,-0.000321238,-0.000639754,0.000749311,0.000720358,0.000888668,0.001989757,0.000603195,0.000617103
0.003004377,-0.001142494,0.002238033,0.00028448,7.99E-05,0.000379085,0.000312422,0.000403446,0.000339915,0.00046797,-0.001852335,0.001928143,-0.00038587,-0.000618284,0.000738489,0.000723132,0.000872024,0.001960044,0.000586674,0.000606078
0.002946667,-0.001191045,0.002171618,0.000281519,8.08E-05,0.000382394,0.000301071,0.000393603,0.000333216,0.000466297,-0.001825111,0.001890969,-0.000449752,-0.000595311,0.000725124,0.000723788,0.000852596,0.001924409,0.000567912,0.000593231
0.002883961,-0.001239245,0.002101714,0.000277552,8.12E-05,0.000384783,0.000288501,0.00038222,0.000325338,0.000463471,-0.001793794,0.001849497,-0.000512257,-0.00057122,0.000709418,0.00072236,0.000830662,0.001883462,0.000547099,0.000578709
